Es_oil,Botanical_name,Origin,Parts,Cultivation,Extraction,Price_gm_USD,Odour,Perfumery_note,Od_class,ROI,OL_hrs_Stp,Ph_State,Colour,PC_min_%,PC_av_%,PC_max_%,Alco_Perfume,Anti-per_Deo,Cream_lotion,Lipstick,Talc_powder,Tab_soap,Liquid_soap,Shampoo,Hair_conditioner,Bath_shower_gel,Cold_wave,Acid-cleaner,Ammonia,Chlorine,Powder_detergent,Liquid_detergent,Fabric_softener,Candles,Pot_pourri,Incense,
Carrot_seed_10%_DPG,Daucus carota L.,India,Carrot_seed_es_oil,Conventional,diluted_in_10%_DPG,0.40,woody_earthy_spicy_floral,middle,Hs,185.00,6.00,mixture,yellow_to_amber,0.050,0.500,3.600,6,9,9,9,2,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,
Cassia,Cinnamomum cassia (L.) J.Presl,India_Vietnam_China,(Dried)Bark_Leaves_Twigs,Conventional,CO2_select_or_Steam,0.35,balsamic_spicy,base_to_middle,Ss,230.00,45.00,mobile_liquid,amber_dark_brown,0.040,0.400,3.500,9,4,6,4,9,9,9,9,9,9,4,4,9,9,9,9,9,4,9,9,
Cassia_10%_DPG,Cinnamomum cassia (L.) J.Presl,India_Vietnam_China,Cassia_es_oil,Conventional,diluted_in_10%_DPG,0.07,balsamic_spicy,base_to_middle,Ss,25.70,10.80,mixture,amber_dark_brown,0.400,4.000,35.000,9,4,6,4,9,9,9,9,9,9,4,4,8,6,9,9,9,4,9,9,
Cedarwood_Chinese,Cupressus funebris Endl.,China,Wood,Wildcrafted,Steam_distillation,0.13,dry_woody_smoky,base,Wt,110.00,36.00,liquid,pale_yellow,0.440,3.300,22.000,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,
Cedarwood_Virginian,Juniperus virginiana L.,USA,Heartwood,Wildcrafted,Steam_distillation,0.27,balsamic_sweet,base_to_middle_fixative,Ww,90.00,32.00,slightly_vis_liquid,pale_straw,0.130,1.300,10.000,9,9,9,9,9,9,9,9,9,9,4,4,9,9,9,9,9,9,9,9,
Celery_seed,Apium graveolens L.,India,Seeds,Conventional,Steam_distillation,0.94,spicy_warm,middle,Sg,225.00,28.00,liquid,pale_yellow_to_orange,0.040,0.300,3.000,6,3,9,9,2,2,2,2,2,2,9,9,1,0,9,9,2,9,9,9,
Celery_seed_10%_DPG,Apium graveolens L.,India,Celery_seed_es_oil,Conventional,diluted_in_10%_DPG,0.13,spicy_warm,middle,Sg,225.00,28.00,mixture,pale_yellow_to_orange,0.040,0.300,3.000,6,3,9,9,2,2,2,2,2,2,9,9,1,0,9,9,2,9,9,9,
Champaca_flower,Magnolia x alba,China,Flowers,Conventional,Steam_distillation,2.54,narcotic_floral,middle,Nn,200.00,60.00,liquid,pale_yellow,0.050,0.500,2.000,6,3,9,9,8,9,9,9,9,9,3,3,4,3,8,9,9,7,7,7,
Champaca_flower_10%_DPG,Magnolia x alba,China,Champaca_flower_es_oil,Conventional,diluted_in_10%_DPG,0.27,narcotic_floral,middle,Nn,17.70,12.30,mixture,pale_yellow,0.500,5.000,20.000,6,3,9,9,8,9,9,9,9,9,3,3,4,3,8,9,9,7,7,7,
Champaca_leaf,Magnolia x alba,China,Leaves,Conventional,Steam_distillation,0.55,leafy_floral,top,Lw,100.00,18.00,liquid,colorless_to_yellow_orange,0.100,7.000,40.000,9,8,9,9,9,9,9,9,7,9,6,1,5,1,9,8,8,9,7,9,
Cinnamon_bark,Cinnamomum zeylanicum ,Sri Lanka,Dried_(inner)bark,Conventional,Steam_distillation,1.86,spicy_sweet,middle,Sw,150.00,80.00,liquid,pale_to_dark_yellow,0.070,0.700,5.300,6,4,6,4,2,9,9,9,9,9,8,8,9,9,9,9,9,5,9,9,
Cinnamon_bark_10%_DPG,Cinnamomum zeylanicum ,Sri Lanka,Cinnamon_bark_es_oil,Conventional,diluted_in_10%_DPG,0.22,spicy_sweet,middle,Sw,17.70,14.30,mixture,pale_to_dark_yellow,0.700,7.000,53.000,6,4,6,4,2,9,9,9,9,9,8,6,8,6,9,9,9,5,9,9,
Cinnamon_leaf,Cinnamomum zeylanicum ,Sri Lanka,Leaves,Conventional,Steam_distillation,0.40,spicy_sweet(apple pie),middle,Sh,160.00,75.00,mobile_liquid,straw_to_black,0.060,0.600,5.000,6,4,6,4,2,9,9,9,9,9,8,8,9,9,9,9,9,5,9,9,
Cistus,Cistus ladaniferus,Spain,Leaves_Top,Wildcrafted,Steam_distillation,4.80,balsamic_musky_herbal,Base_fixative,Uq,400.00,72.00,mobile_liquid,medium_yellow,0.500,5.000,15.000,9,6,6,0,8,7,8,9,7,9,0,0,0,0,6,8,6,7,8,8,
Cistus_10%_DPG,Cistus ladaniferus,Spain,Cistus_es_oil,Wildcrafted,diluted_in_10%_DPG,0.50,balsamic_musky_herbal,Base_fixative,Uq,0.00,0.00,mixture,medium_yellow,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Citronella,Cymbopogon winterianus Jowitt ex Bor,India_Indonesia,Leaves,Conventional,Steam_distillation,0.14,lemony_sweet_herbal,top,Ch,280.00,8.00,mobile_liquid,pale_to_dark_yellow,0.020,0.200,1.800,6,4,9,4,2,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,
Citrus_Hystrix_Lime ,Citrus hystrix,Indonesia_Madagascar,Peels,Conventional_Wildcrafted,Steam_distillation,0.23,Citrusy_piney_green,top_to_middle,Ck,190.00,7.00,liquid,colorless_to_pale_yellow,0.440,3.300,22.000,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,
Citrus_Hystrix_Lime_leaf,Citrus hystrix,Indonesia_Madagascar,Leaves,Conventional_Wildcrafted,Steam_distillation,0.56,Citrusy_rosy_green,top_to_middle,Cg,210.00,0.00,liquid,colorless_to_pale_yellow,0.100,1.000,10.000,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,
Clary_Sage,Salvia sclarea L.,France,Leaves_flowering_tops,Conventional,Steam_distillation,1.44,harbaceous_sweet_tobacco,middle_fixative,Hh,105.00,20.00,liquid,colorless_to_pale_straw_green,0.100,1.000,4.000,6,9,9,9,2,9,9,9,9,9,4,4,9,9,9,9,9,9,9,9,
Clove_bud,Eugenia caryophyllata,Sri Lanka_Madagascar_Indonesia,Fruits_Buds,Conventional,Steam_distillation,0.54,warm_sweet_spicy,middle,Sp,180.00,36.00,liquid,pale_yellow_to_straw,0.050,0.300,3.000,9,9,9,9,9,6,8,9,9,9,1,6,5,1,9,8,9,7,8,8,darkens to black in iron drum
Clove_leaf,Eugenia caryophyllata,Sri Lanka_Madagascar_Indonesia,Leaves,Conventional,Steam_distillation,0.19,warm_balsamic_spicy,middle,Sh,220.00,30.00,liquid,dark_brown,0.050,0.500,3.600,9,9,9,9,9,6,8,9,9,9,1,6,5,1,9,8,9,7,8,8,
Cocoa_ab,Theobroma cacao L.,France,Seeds,Conventional,Solvent_extraction_ab,3.52,warm_sweet_chocolaty,middle_to_base,Dv,250.00,36.00,vis_opaque_liquid_or_paste,dark_brown,0.020,0.200,2.000,9,5,6,0,9,9,9,9,8,9,1,0,4,3,6,7,7,4,8,8,
Cocoa_ab_10%_DPG,Theobroma cacao L.,France,Cocoa_ab,Conventional,diluted_in_10%_DPG,0.28,Chocolaty_vanilla,middle_to_base,Ve,12.00,31.30,mixture,dark_brown,1.000,10.000,50.000,5,5,4,6,9,6,9,9,9,9,2,2,2,2,9,9,9,9,6,6,
Cocoa_ab_10%_IPM,Theobroma cacao L.,France,Cocoa_ab,Conventional,diluted_in_10%_IPM,0.28,Chocolaty_dariy_vanilla,middle_to_base,Dv,19.50,360.00,mixture,dark_brown,0.200,2.000,20.000,9,5,6,0,9,9,9,9,9,9,1,0,4,1,6,7,7,4,8,8,
Coffee_bean,Coffea arabica L.,El Salvador_Brazil,Beans_roasted,Conventional,cold_pressed,1.67,Rich_roasted_coffee,base,Et,100.00,20.00,slightly_vis_opaque_liquid,dark_brown,1.000,2.000,5.000,8,4,6,9,6,5,6,6,6,6,0,0,0,0,4,7,6,6,6,6,
Coffee_bean_10%_DPG,Coffea arabica L.,El Salvador_Brazil,Coffee_bean_es_oil,Conventional,diluted_in_10%_DPG,0.21,Rich_roasted_coffee,base,Zz,2.70,6.30,mixture,dark_brown,0.000,0.000,10.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Coriander_seed,Coriandrum sativum L.,Hungary_Bulgaria_France_Ukarine,Seeds,Conventional,Steam_or_CO2_select,0.82,Woody_spicy_herbal,middle_to_top_fixative,Sl,145.00,21.00,liquid,colorless_to_pale_yellow,0.090,0.900,7.300,9,9,9,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,
Coriander_seed_10%_DPG,Coriandrum sativum L.,Hungary_Bulgaria_France_Ukarine,Coriander_seed_es_oil,Conventional,diluted_in_10%_DPG,0.24,Woody_spicy_herbal,middle_to_top_fixative,Sl,17.20,8.40,mixture,colorless_to_pale_yellow,0.900,9.000,73.000,9,9,9,9,9,9,9,9,9,9,9,5,8,6,9,9,9,9,9,9,
Corn_Mint,Mentha arvensis,India,Leaves,Wildcrafted,Steam_distillation,0.27,Strong_minty_warm_harbaceous,top,Bh,125.00,16.50,liquid,colorless_to_pale_yellow,0.370,2.700,18.000,6,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Cumin_seed,Cuminum cyminum,India,Seeds,Conventional,Steam_distillation,1.10,Spicy_green_herbal,top_to_middle,Gu,2000.00,0.90,liquid,pale_yellow_green,0.010,0.100,0.300,6,9,9,9,2,9,9,9,9,9,6,2,9,9,9,9,9,9,9,9,
Cumin_seed_1%_DPG,Cuminum cyminum,India,Cumin_seed_es_oil,Conventional,diluted_in_1%_DPG,0.05,Spicy_green_herbal,top_to_middle,Gu,23.00,6.94,mixture,pale_yellow_green,0.100,1.000,3.000,6,9,9,9,2,9,9,9,9,9,6,2,8,6,9,9,9,9,9,9,best used in 1% dilution or less
Cumin_seed_10%_TEC,Cuminum cyminum,India,Cumin_seed_es_oil,Conventional,diluted_in_10%_TEC,0.15,Spicy_green_floral,top_to_middle,Su,203.00,6.39,mixture,pale_yellow_green,0.100,1.000,3.000,6,9,9,9,2,9,9,9,9,9,6,2,8,6,9,9,9,9,9,9,
Cypress_ab,Cupressus sempervirens L.,France,Stems_Needles,Conventional,Solvent_extraction_ab,1.87,Sweet_pine_ember,base,Qt,86.00,3.00,Vis_liquid_or_moist_paste,brownish_green,0.510,3.800,25.000,6,9,9,9,2,9,9,9,9,9,4,4,9,9,9,9,9,9,9,9,
Davana,Artemisia pallens Wall. ex DC.,India,Leaves_Top_or_Whole_plant,Conventional,Steam_distillation,4.70,Balsamic_sun_ripened_fruits,middle_v_tenacious,Fg,200.00,15.00,liquid,yellow_orange_to_dark_brown,0.100,1.000,5.000,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,
Davana_10%_DPG,Artemisia pallens Wall. ex DC.,India,Davana_es_oil,Conventional,diluted_in_10%_DPG,0.52,Balsamic_sun_ripened_fruits,middle_v_tenacious,Fg,22.70,7.80,mixture,yellow_orange_to_dark_brown,1.000,10.000,50.000,9,9,9,9,9,9,9,9,9,9,1,1,8,6,9,9,9,9,9,9,
Dill_weed,Anethum graveolens,Hungary,Leaves_Stem,Conventional,Steam_distillation,0.67,Warm_spicy_herbal,middle,Hs,180.00,14.00,liquid,colorless_to_pale_straw,0.060,0.600,4.400,6,9,9,9,2,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,
Elemi,Canarium luzonicum (Blume) A.Gray ,The Philippines,Oleo_resin,Wildcrafted,Steam_distillation,0.44,Peppery_citrusy_green,middle_to_top_fine_fixative,Qc,120.00,12.00,liquid,colorless_to_pale_yellow,0.550,4.100,27.000,6,9,9,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,
Elemi_gum,Canarium luzonicum (Blume) A.Gray ,The Philippines,Oleo_resin,Wildcrafted,tapped_from_trunk,0.27,Peppery_citrusy_woody,middle_to_top,Hq,100.00,0.00,semi_solid,pale_yellow,0.008,0.080,0.800,9,5,6,0,5,9,9,9,8,9,1,0,4,3,5,7,7,4,5,5,
Estragon,Artemisia dracunculus,France,Leaves,Wildcrafted,Steam_distillation,1.30,sweet_anise-like,middle,Sh,340.00,9.00,mobile_liquid,colorless_to_pale_yellow,0.030,0.300,2.400,9,6,9,9,9,9,8,6,6,9,1,1,5,1,6,9,6,9,7,9,
Eucalyptus_lemon,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,South Africa_Madagascar_Malawi_Australia,Leaves,Conventional_Wildcrafted,Steam_distillation,0.25,Citrusy_cool_herbal,top,Cc,120.00,6.00,liquid,pale_yellow_to_greenish_yellow,0.100,5.000,25.000,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,
Eucalyptus_blue gum,Eucalyptus globulus Labill.,Australia,Leaves,Conventional_unsprayed,Steam_distillation,0.17,Cool_woody_minty_green,top,Bh,370.00,2.60,liquid,colorless_to_pale_yellow_on_aging,0.300,3.000,10.000,9,9,9,9,9,9,9,9,9,9,9,6,5,1,9,8,9,9,8,9,
Fennel_Sweet,Foeniculum vulgare ssp. capillaceum var. dulce,Egypt_Hungary,Seeds,Wildcrafted,Steam_distillation,0.79,sweet_anise-like,middle_to_top,Sb,180.00,20.00,liquid,colorless_to_pale_yellow,0.060,0.600,4.400,6,3,9,6,6,6,6,6,6,6,5,5,1,0,9,9,6,9,9,9,
Fir_balsam,Abies balsamea (L.) Mill.,Canada,Needles,Wildcrafted,Steam_distillation,0.58,Balsamic_evergreen,middle_to_top,Wk,90.00,7.00,liquid,pale_yellow,0.720,5.400,36.000,6,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,
Frangipani_ab,Plumeria alba,India,Flowers,Conventional,Solvent_extraction_ab,13.02,Sweet_heady_floral,middle,On,150.00,52.00,liquid,dark_brown,0.200,1.300,5.000,9,5,9,6,9,6,9,9,9,9,4,4,9,9,9,9,9,9,6,6,
Frangipani_ab_10%_DPG,Plumeria alba,India,Frangipani_ab,Conventional,diluted_in_10%_DPG,2.02,Sweet_heady_floral,middle,On,17.70,11.50,mixture,dark_brown,2.000,13.000,50.000,9,5,9,6,9,6,9,9,9,9,4,4,8,6,9,9,9,9,6,6,
