Es_oil,Botanical_name,Origin,Parts,Cultivation,Extraction,Price_gm_USD,Odour,Perfumery_note,Od_class,ROI,OL_hrs_Stp,Ph_State,Colour,PC_min_%,PC_av_%,PC_max_%,Alco_Perfume,Anti-per_Deo,Cream_lotion,Lipstick,Talc_powder,Tab_soap,Liquid_soap,Shampoo,Hair_conditioner,Bath_shower_gel,Cold_wave,Acid-cleaner,Ammonia,Chlorine,Powder_detergent,Liquid_detergent,Fabric_softener,Candles,Pot_pourri,Incense,
Agarwood_Siam,Aquilaria crassna Pierre ex Lecomte,Vietnam,Wood,Sustainably_harvested,Steam_distillation,25.00,balsamic_animalic,base,Wu,250.00,200.00,liquid,amber,0.100,1.000,10.000,9,0,6,0,8,8,8,6,6,6,0,0,0,0,6,5,5,9,8,9,
Agarwood_10%_DPG,Aquilaria crassna Pierre ex Lecomte,Vietnam,Wood,Sustainably_harvested,Steam_distillation,2.60,balsamic_animalic,base,Wu,33.00,124.00,mixture,yellow,0.100,3.000,15.000,9,6,8,0,6,7,7,8,8,7,0,0,0,0,6,6,6,8,8,9,
Ambrette_seed_ab,Abelmoschus moschatus Medik,Peru,Seeds,Conventional,CO2_select_extraction,20.00,Musky_tobacco,base,Nx,94.00,2.40,liquid,pale_yellow,0.470,3.500,23.000,9,3,9,9,2,2,2,2,2,2,9,9,1,0,9,9,2,9,9,9,
Ambrette_seed_ab_10%_DPG,Abelmoschus moschatus Medik,Peru,Seeds,Conventional,diluted_in_10%_DPG,2.52,Musky_tobacco,base,Nx,12.10,6.54,mixture,pale_yellow,3.000,15.000,90.000,9,3,9,9,2,2,2,2,2,2,9,6,1,0,9,9,2,9,9,9,
Amyris,Amyris balsamifera L.,Dominican_Republic,Wood,Wildcrafted,Steam_distillation,0.69,smoky_sandalwood,base,Wq,30.00,2000.00,Vis_liquid,pale_to_brownish_yellow,1.000,3.000,25.000,8,9,9,9,9,9,9,9,9,9,1,1,4,3,9,9,9,9,9,9,
Anise_China,Illicium verum Hook.f.,India_China,Fruits,Conventional,Steam_distillation,0.24,licorice_fresh,top_to_middle,Sh,160.00,18.00,liquid,pale_yellow,0.100,1.000,8.000,9,9,9,9,9,9,9,9,9,9,6,6,5,1,9,9,9,9,8,9,
Anthopogen_Rhododendron,Rhododendron adamsii Rehder,Siberia,Leaves_flowering_tops,Wildcrafted,Steam_distillation,0.47,balsamic_spicy,middle_to_top,Wy,100.00,72.00,liquid,clear_to_pale_yellow,0.100,1.000,3.000,9,9,9,0,9,9,9,9,9,9,2,2,2,2,9,9,9,9,9,9,
Armoise,Artemisia herba-alba Asso,Morocco,Leaves,Wildcrafted,Steam_distillation,0.99,camphoric_cool,top_to_middle,Hs,120.00,16.00,mobile_liquid,colorless,0.100,2.000,10.000,9,9,9,9,9,9,9,9,9,9,5,5,5,5,6,8,9,6,7,7,
Atlas_Cedarwood,Cedrus atlantica (Endl.) Manetti ex Carrière,Morocco,Wood,Sustainably_wild_harvested,Steam_distillation,0.31,balsamic_dry,base,Wq,75.00,48.00,liquid,yellowish_amber,0.500,5.000,20.000,9,6,9,0,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,
Bay_West_Indies,Pimenta racemosa,Jamaica,Leaves,Wildcrafted,Steam_distillation,1.30,spicy_clove,middle,Sh,125.00,14.00,mobile_liquid,light_straw_to_dark_brown,0.080,0.800,6.400,9,9,9,9,9,6,8,9,9,9,1,6,5,1,9,8,9,7,8,8,
Bay_West_Indies_10%_DPG,Pimenta racemosa,Jamaica,Leaves,Wildcrafted,Steam_distillation,0.15,spicy_clove,middle,Sh,125.00,14.00,mixture,straw,0.080,0.800,6.400,9,9,9,9,9,6,8,9,9,9,1,6,5,1,9,8,9,7,8,8,
Benzoin_Siam_Resinoid,Styrax tonkinensis,Vietnam_Loas,Gum_oleoresin,Wildcrafted,tapped_from_trunk,0.47,balsamic_vanilla,base,Qv,60.00,55.00,resinous_mass,orange_amber_to_brown,0.170,1.700,13.300,6,3,9,9,3,2,2,2,2,2,8,8,4,1,9,9,2,4,9,9,
Benzoin_Siam_Resinoid_50%_BB,Styrax tonkinensis,Vietnam_Loas,Benzion_Siam_Resinoid,Wildcrafted,diluted_in_50%_BB,0.32,balsamic_vanilla,base,Qv,32.00,77.50,mixture,brown,0.340,3.400,8.000,6,3,9,9,2,2,2,2,2,2,8,8,1,0,1,1,2,4,4,9,
Benzoin_Siam_Resinoid_50%_DPG,Styrax tonkinensis,Vietnam_Loas,Benzion_Siam_Resinoid,Wildcrafted,diluted_in_50%_DPG,0.30,balsamic_vanilla,base,Qv,31.50,39.50,mixture,brown,0.340,3.400,26.600,6,3,9,9,3,2,2,2,2,2,8,6,4,1,9,9,2,4,9,9,
Benzoin_Sumatra_Resinoid,Styrax benzoin Dryand.,Sumatra,Gum_oleoresin,Conventional,tapped_from_trunk,0.30,balsamic_vanilla,base,Qv,100.00,84.00,resinous_mass,reddish_brown,0.500,5.000,10.000,9,6,6,0,8,7,8,9,7,9,0,0,0,0,6,8,6,7,8,8,
Bergamot,Citrus aurantium var. bergamia ,Italy,Peels,Conventional,cold_pressed,0.30,citrus_floral,top,Cl,110.00,8.00,mobile_liquid,pale_green_olive,0.200,5.000,25.000,9,8,9,9,9,9,9,9,9,9,6,1,5,1,8,9,9,9,7,9,
Birch_tar_1%_DPG,Betula Alba,India,Birch_tar_Rectified,Conventional,diluted_in_1%_DPG,0.15,leathery_charred_wood,base,Wt,14.97,6.93,mixture,dark_brown_to_orange,3.000,15.000,90.000,9,9,9,9,9,9,9,9,9,9,1,1,8,6,9,9,9,9,9,9,
Birch_tar_Rectified,Betula Alba,India,Bark,Conventional,dry_distillation,1.70,leathery_charred_wood,base,Wt,1200.00,0.00,liquid,dark_brown,0.440,3.300,22.000,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,sustainability: 400 hrs at 100% 
Birch_tar_Rectified_10%_DPG,Betula Alba,India,Birch_tar_Rectified,Conventional,diluted_in_10%_DPG,0.25,brunt_leathery_phenolic,base,Tp,122.70,6.30,mixture,dark_brown,3.000,15.000,90.000,9,9,9,9,9,9,9,9,9,9,1,1,8,6,9,9,9,9,9,9,
Bitter_Orange,Citrus aurantium var. amara ,Egypt,Peels,Conventional,cold_pressed,0.40,tart_fresh_orange,top,Cl,100.00,32.00,mobile_liquid,pale_yellow_to_yellow_clear,0.100,1.000,10.000,9,3,6,0,4,4,4,9,8,9,1,0,4,3,4,4,4,4,5,5,
Black_Pepper,Piper nigrum L.,Madagascar,Dried_Fruits,Conventional_unsprayed,Steam_distillation,0.90,warm_spicy,middle_to_top,Sh,150.00,10.00,mobile_liquid,colorless_to_pale_olive,0.070,0.700,5.300,9,9,9,9,9,9,9,9,9,9,1,1,5,1,9,9,9,9,8,9,
Blackcurrant_ab,Ribes nigrum L.,France,Flower_buds,Conventional,Solvent_extraction_ab,6.22,fruity_green,middle_to_base,Fb,200.00,48.00,pourable_to_thick_paste-like,Dark_green_to_brown,0.100,0.500,3.000,9,6,6,6,7,7,7,7,7,7,1,1,1,1,1,6,5,6,7,7,
Blackcurrant_ab_10%_DPG,Ribes nigrum L.,France,Blackcurrant_ab,Conventional,diluted_in_10%_DPG,0.64,fruity_green,middle_to_base,Fb,40.00,30.00,mixture,Dark_green_to_brown,1.000,5.000,10.000,9,6,6,0,7,6,7,7,7,7,1,1,1,1,5,7,6,6,8,8,
Blue_Chamomile,Matricaria recutita L.,Egypt,Flowers,Conventional,Steam_distillation,2.12,harbaceous_nectar,middle,Hf,230.00,30.00,Vis_liquid,Deep_blue_navy,0.040,0.400,3.500,9,5,9,9,9,9,9,9,6,9,1,1,5,1,4,9,7,9,7,7,
Blue_Chamomile_10%_DPG,Matricaria recutita L.,Egypt,Blue_Chamomile_es_oil,Conventional,diluted_in_10%_DPG,0.24,harbaceous_nectar,middle,Hf,230.00,30.00,mixture,Deep_blue_navy,0.040,0.400,3.500,9,5,9,9,9,9,9,9,6,9,1,1,5,1,4,9,7,9,7,7,
Cabreuva,Myrocarpus fastigiatus,Brazil,Woodchips_Barks_Twigs,Conventional,Steam_distillation,0.71,woody_floral,base,Wi,100.00,24.00,Vis_liquid,pale_yellow,0.100,0.500,5.000,9,5,6,0,5,9,9,9,9,9,1,0,4,3,5,7,7,9,5,5,
Cade_juniper_Rectified,Juniperus oxycedrus L.,India,Wood_Twigs,Conventional,Steam_distillation,0.65,finer_smoky_birchtar-like,base,Tw,3000.00,60.00,liquid,orange_brown_to_black,0.002,0.020,0.200,6,3,9,9,2,9,9,9,9,9,4,4,1,1,9,9,9,9,9,9,
Cade_juniper_Rectified_10%_DPG,Juniperus oxycedrus L.,India,Cade_juniper_Rectified,Conventional,diluted_in_10%_DPG,0.20,finer_smoky_birchtar-like,base,Tw,302.70,12.30,mixture,orange_brown_to_black,0.020,0.200,2.000,6,3,9,9,2,9,9,9,9,9,4,4,1,1,9,9,9,9,9,9,
Cade_juniper_Rectified_1%_DPG,Juniperus oxycedrus L.,India,Cade_juniper_Rectified,Conventional,diluted_in_1%_DPG,0.11,finer_smoky_birchtar-like,base,Tw,33.00,7.53,mixture,orange_brown_to_black,0.200,2.000,20.000,6,3,9,9,2,9,9,9,9,9,4,4,1,1,9,9,9,9,9,9,
Camphor_white,Cinnamomum camphora,China,Wood,Conventional,Steam_distillation,0.16,coniferous_minty,middle_to_base,Bk,350.00,1.00,liquid,colorless_to_v_pale_yellow,0.200,3.000,10.000,6,4,6,4,2,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,
Cananga,Cananga odorata var. macrophylla,Indonesia,Flowers,Conventional,Steam_distillation,0.30,floral_balsamic,top_to_middle,Nj,160.00,36.00,liquid,colorless_to_pale_straw,0.060,0.600,5.000,6,3,9,9,2,9,9,9,9,9,9,8,9,9,9,9,9,5,9,9,
Caraway_seed,Carum carvi L.,Egypt_Germany,Seeds,Conventional,Steam_or_CO2_select,0.82,harbaceous_spicy,middle,Hs,250.00,22.00,slightly_vis_liquid,pale_yellow_to_brown,0.050,0.500,4.000,6,9,9,9,2,9,9,9,9,9,5,5,9,9,9,9,9,9,4,9,
Caraway_seed_10%_DPG,Carum carvi L.,Egypt_Germany,Caraway_seed_es_oil,Conventional,diluted_in_10%_DPG,0.12,harbaceous_spicy,middle,Hs,250.00,22.00,mixture,pale_yellow_to_brown,0.050,0.500,4.000,6,9,9,9,2,9,9,9,9,9,5,5,9,9,9,9,9,9,4,9,
Cardamon,Elettaria cardamomum L.,Guatemala_Honduras_India,Whole_fruit_or_Fruit_seeds,Conventional,CO2_total_or_Steam,3.56,sweet_spicy,middle,Sc,300.00,1.50,slightly_vis_liquid,deep_orange_yellow_to_pale_yellow,0.030,0.300,2.700,9,9,9,9,9,9,9,9,9,9,1,1,5,1,9,9,9,9,7,9,
Cardamon_10%_DPG,Elettaria cardamomum L.,Guatemala_Honduras_India,Cardamon_es_oil,Conventional,diluted_in_10%_DPG,0.42,sweet_spicy,middle,Sh,300.00,1.50,mixture,deep_orange_yellow_to_pale_yellow,0.030,0.300,2.700,9,9,9,9,9,9,9,9,9,9,1,1,5,1,9,9,9,9,7,9,
Carrot_seed,Daucus carota L.,India,Seeds,Conventional,Steam_distillation,3.40,sweet_earthy_spicy,middle,Ih,185.00,6.00,liquid,yellow_to_amber,0.050,0.500,3.600,6,9,9,9,2,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,
